#FileName	SpeciesCode	SpeciesName	Kingdom	Phylum	Subphylum	class	order	Family	genus
Trichophyton_rubrum_CBS100081.gb	TRIRU	Trichophyton_rubrum_CBS_100081	Fungi	Ascomycota	Pezizomycotina	Eurotiomycetes	Onygenales	Arthrodermataceae	Trichophyton
Trichophyton_soudanense_CBS45261.gb	TRISO	Trichophyton_soudanense_CBS_452.61	Fungi	Ascomycota	Pezizomycotina	Eurotiomycetes	Onygenales	Arthrodermataceae	Trichophyton
Trichophyton_tonsurans_CBS112818.gb	TRITO	Trichophyton_tonsurans_CBS_112818	Fungi	Ascomycota	Pezizomycotina	Eurotiomycetes	Onygenales	Arthrodermataceae	Trichophyton
Trichophyton_verrucosum_HKI0517.gb	TRIVE	Trichophyton_verrucosum_HKI_0517	Fungi	Ascomycota	Pezizomycotina	Eurotiomycetes	Onygenales	Arthrodermataceae	Trichophyton
Trichoderma_virens_Gv298.gb	TRIVI	Trichoderma_virens_Gv29-8	Fungi	Ascomycota	Pezizomycotina	Sordariomycetes	Hypocreales	Hypocreaceae	Trichoderma
Tuber_melanosporum_Mel28.gb	TUBME	Tuber_melanosporum_Mel28	Fungi	Ascomycota	Pezizomycotina	Pezizomycetes	Pezizales	Tuberaceae	Tuber
Tulasnella_calospora_MUT4182.gb	TULCA	Tulasnella_calospora_MUT_4182	Fungi	Basidiomycota	Agaricomycotina	Agaricomycetes	Cantharellales	Tulasnellaceae	Tulasnella
Uncinocarpus_reesii_1704.gb	UNCRE	Uncinocarpus_reesii_1704	Fungi	Ascomycota	Pezizomycotina	Eurotiomycetes	Onygenales	Onygenaceae	Uncinocarpus
Ustilago_hordei_strainUh48574.gb	USTHO	Ustilago_hordei	Fungi	Basidiomycota	Ustilaginomycotina	Ustilaginomycetes	Ustilaginales	Ustilaginaceae	Ustilago
Ustilago_maydis_521.gb	USTMA	Ustilago_maydis_521	Fungi	Basidiomycota	Ustilaginomycotina	Ustilaginomycetes	Ustilaginales	Ustilaginaceae	Ustilago
Ustilaginoidea_virens.gb	USTVI	Ustilaginoidea_virens	Fungi	Ascomycota	Pezizomycotina	Sordariomycetes	Hypocreales	Ustilaginoideae	Ustilaginoidea
